Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"e-NACT Workshop on the Application of the EU Charter: Freedom of Expression"	"13.05.2019"	"14.05.2019"	"Scientific Director of the CMPF, Elda Brogi will speak at the e-NACT (e-learning National Active Charter Training) workshop in Ljubljanaon the topic of Freedom of Expression and the Role of Internet Platforms.Find out more about the e-NACT workshop in the linked pdf.    "	""	"University of Ljubljana @ Poljanski Nasip 2, 1000 Ljubljana, Slo"
"Implementation of the Council of Europe Instruments and Standards in the Field of Media and Information"	"24.05.2019"	"25.05.2019"	"CMPF Scientific Coordinator Elda Brogi will attend and speak atthe conference Implementation of the Council of Europe Instruments and Standards in the Field of Media and Information. Organised by the Ministry of Culture and Media of the Republic of Serbia in partnership with the Council of Europe."	""	"Jugoslovenska Kinoteka"
"Riding or Lashing the Waves: Regulating Media for Diversity in a Time of Uncertainty"	"24.05.2019"	"25.05.2019"	"CMPF researcher Iva Nenadic will attend and speak at the conference Riding or Lashing the Waves: Regulating Media for Diversity in a Timeof Uncertainty  at the National Press Club in Washington on May 24. In session 2 of the conference titled ‘Media regulation and diversity in the platforms era’ Iva and Marko Milosavljevic will present Blurred Lines: Regulating beyond media to protect media pluralism. Click here to find out more.  "	""	"National Press Club @ 529 14th St. NW, 13th Floor, Washington D."
"Platforms, free speech and pluralism: Is there a role to play for media authorities?"	"14.06.2019"	"15.06.2019"	"CMPF staff will host a panel at the 2019 RightsCon in Tunis on Friday June 14 June, 10.30 – 11.45. With guests Xianghong Hu (UNESCO), Lubos Kuklis (ERGA) and Carlos Affonso Souza (Professor at UERJ and Director of Institute of Technology and Society in Brazil) the panel will explorethe question of how media authorities should respond to power of online platforms in deciding on citizens’ access to relevant and diverse information and viewpoints. See more about the conference programme here."	""	"Laico Hotel and the Palais des Congrès, Tunis"
"Roundtable: Freedom of expression and audiovisual media services"	"18.06.2019"	"19.06.2019"	"Elda Brogi will cooperate with the E-nact project in the training for the Scuola Superiore della Magistrura (17-19 June) on Freedom of expression and fight against hate speech in European and Italian law."	""	"Scuola Superiore della Magistrura"
"Scottish Press Freedom Summit 2019"	"19.07.2019"	"20.07.2019"	"Elda Brogi, CMPF Scientific Coordinator, will be a keynote speaker at the Scottish Press Freedom Summit in Edinburgh on July 19. Elda will speak about media pluralism and ownership in Europe. Find out more about the event here.          "	""	"LG34, Paterson’s Land Holyrood Road Edinburgh"
"Stakeholder Meeting: Governing Platforms Project, Brussels"	"08.10.2019"	"09.10.2019"	"  CMPF researcher Iva Nenadic will attend the first stakeholder convening of the Governing Platforms Project on October 8th, organised by Algorithm Watch. Click here for more information on the event.  "	""	"European Policy Centre"
"IMT Lucca TOFFEE Workshop #1 (TOol for Fighting FakEs)"	"24.10.2019"	"26.10.2019"	"Elda Brogi will attend the first TOFFEE workshop in Lucca and participate in a roundtabe where participants will share policy perspectives for the challenges of disinformation. More here."	""	""
"Courts and Populism between Public Law and Technology"	"22.11.2019"	"24.11.2019"	"Elda Brogi will give a presentation on the role of platforms inCJEU case law and EU legislation. View the event programme here."	""	"Università degli Studi di Firenze @ via delle Pandette 35, Firenz"
"ERGA Academy Strategy Session – Brussels"	"09.12.2019"	"10.12.2019"	"Elda Brogi will present Media Pluralism Monitor – the next generation and meeting the challenges of an online world in a session titled,External Media Plurality."	""	"Brussels"
"Media and democracy – the way forward – cancelled"	"20.03.2020"	"21.03.2020"	"  This event has been cancelled. We appreciate your interest in the conference and will keep you informed of the new date of the event as soon as the situation will allow it.    During this event, the preliminary findings of the 2020 Media Pluralism Monitor will be presented and discussed. The Monitor is a scientific tool assessing risks to media pluralism in Europe. It is developed by the Centre for Media Pluralism and MediaFreedom (CMPF) of the European University Institute and co-funded by the EU. To register, please send an email with your contact details (name, surname, organisation) by 10 March 2020 to CNECT-MEDIA-EVENT-2020@ec.europa.eu .  Registration is free but mandatory. A programme outline can be found on the European Commission website.    "	""	"Rue des Tanneurs 60A, 1000, Bruxelles"
"Annual Scientific Seminar on Innovation, Platforms and the Digital Economy"	"17.09.2020"	"19.09.2020"	"Announcement: This event has been postponed until 17 – 18 September   In March 2020 the CMPF will join the Florence School of Regulation Communications & Media (FSR C&M) and Florence Competition Programme (FCP) in hosting the Annual Scientific Seminar on on Innovation, Platforms and the Digital Economy. For the 10th year the seminar will gather scholars and practitioners from all over the world and feature keynotes from the social sciences, economics, law and media. This edition will be an occasion to identify effective policies that balance innovation, competition and the protection of fundamental rights. Topics include:  The role of IP in fostering innovation, Challenges and opportunities related to platform-based economy, The role of competition policy in the Digital Economy, Electronic communications networks, 5G and IoT, and Social Media, democracy and fundamental rights  Discover more and register for the seminar via the FSR Communications and Media website. FIND OUT MORE"	""	"Badia Fiesolana, Refettorio @ Via dei Roccettini 9 San Domenico d"
"Seminar: Self-Regulation in the Media Sector – Hugo Aznar"	"06.04.2018 10:00"	"06.04.2018 12:00"	"CMPF visiting scholar Hugo Aznar will give a seminar in Sala Seminari of Villa Raimondi on self regulation in the media sector."	""	"Villa Raimondi @ Via Giovanni Boccaccio, 111, 50133 Firenze FI,"
"Seminar: Elda Brogi speaks on the Media Pluralism Monitor – University of Perugia"	"13.04.2018 10:30"	"13.04.2018 12:30"	"CMPF Scientific Coordinator, Elda Brogi, will hold a seminar on the Media Pluralism Monitor at the University of Perugia, Scienze della Comunicazione. The seminar will take place in Aula A – Area di Studi Sociali."	""	"University of Perugia @ Via Elce di Sotto, 06123 Perugia PG, Ita"
"International Seminar: The Right to Freedom of Expression and Information (Spain)"	"25.05.2018 09:30"	"25.05.2018 14:00"	"CMPF coordinator, Elda Brogi and the Media Pluralism Monitor expert for Spain, Pere Masip will speak at the international seminar, TheRight to Freedom of Expression and Information. the seminar will take place in Valencia, Spain at CEU, Cardenel Herrera University For more information see the website."	""	"Edificio Luis Campos Górriz @ Carrer Lluís Vives, 1, 46115 Alfar"
"Responding to an evolving communications environment. Towards a new Tuscan regional law on communication, information and discipline of Corecom"	"29.06.2018 09:00"	"29.06.2018 12:30"	"The CMPF is organising a joint conference with CORECOM, the Regional Communications Committee of Tuscany. The purpose of the conference is to discuss the changing communication and information landscape and potential regulatory responses to these changes. Download the conference agenda.      "	""	"European University Institute @ 50014 Fiesole FI, Italy"
"Rule of Law and Safety of Journalists – Hearing at the European Parliament, Brussels"	"11.07.2018 09:00"	"11.07.2018 12:30"	"CMPF Scientific Coordinator, Elda Brogi, will be speak on thepanel, Media freedom and the safety of investigative journalists. See the draft agenda here.  "	""	"European Parliament, Brussels"
"Audiovisual Regulation in a Democratic Society"	"22.10.2018 07:40"	"23.10.2018 08:40"	"CMPF Scientific Coordinator, Elda Brogi, will be in attendance and speak on the application of the Media Pluralism Monitor at the Parliament of Andalusia in Seville, Spain."	""	"Parliament of Andalusia @ Calle San Juan de Ribera, 41009 Sevilla"
"CMPF Conference: Monitoring Media Pluralism in Europe, Brussels"	"07.12.2018 10:00"	"07.12.2018 16:00"	"Monitoring media pluralism in Europe: between old risks and newthreats   The Media Pluralism Monitor (MPM) is a holistic tool to assess the risks to media pluralism in a given country. It is based on a set oftwenty indicators covering a broad notion of media pluralism that encompasses political, cultural, geographical, structural and content-related dimensions. The risks for media pluralism are measured in four different areas: Basic Protection, Market Plurality, Political Independence and Social Inclusiveness. The indicators cover legal, economic and socio-political questions. In 2017, the Centre for Media Pluralism and Media Freedom carried out the EU-wide implementation of the Media Pluralism Monitor (MPM2017). The MPM2017 also covers three candidate countries (the Former Yugoslav Republic of Macedonia (FYRoM), Serbia and Turkey). The results of the MPM2017 monitoring exercise generally confirm the highlights of the previous rounds of the MPM’s implementation (see https://cmpf.eui.eu/media-pluralism-monitor/): none of the analysed countries is free from risks to media pluralism. The latest findings show either a stagnation or a deterioration in all of the four major areas covered by the MPM, and an increase inrisk for the area of Basic protection is a particular source of concern. In addition to the “traditional” sources of risks to media pluralism, the contemporary digital environment brings challenges. The growing dominance of a few digital intermediaries and social platforms strongly affects the news business, news distribution and audience habits. Algorithms, artificial intelligence and automation are already applied in many aspects ofinformation production and distribution. It has opened a Pandora’s Box ofopportunities, but also threats such as spread of online disinformation and hate speech, (mis-)use of personal data for targeted information, political advertising, non-transparent content moderation, net neutrality violations, to name a few. In keeping with the event’s name “between oldrisks and new threats”, we will first present and discuss the latest findings of the Media Pluralism Monitor (MPM2017). Second, an afternoon roundtable discussion featuring scholars, experts, stakeholders and policy-makers from around Europe, will draw our attention to more recent digital-related challenges in an effort to define potential indicators to be measured, using the risk-based logic of the Media Pluralism Monitor. CMPF staff, including director Pier Luigi Parcu, scientific coordinator Elda Brogi and researchers Iva Nenadic and Mario Viola de Azevedo Cunha will present the results of the 2017 Media Pluralism Monitor. The MPM project is co-funded by the European Union.   REGISTER FOR THE EVENT   SEE THE EVENT PROGRAMME  List of Guest Speakers        Giuseppe Abbamonte     Giuseppe Abbamonte was appointed Director of the Media and Data Directorate in January 2014. The Directorate is, amongst many other things, responsible for the development and follow-up of the European regulatory framework on audiovisual media and the European Big Data Strategy. Shortlyafter his appointment as Director, Giuseppe delivered a major Communication setting out the Commission’s strategy on Data called “Towards a thriving data-driven economy” and set up the European Public Private Partnershipon Big Data Value. Recently he delivered the new legislative proposal amending the Audiovisual Media Services Directive, adopted by the European Commission on 25 May 2016. On 1st July 2016 he took over the new Media Policy Directorate in charge of, amongst other policies, copyright reform, AVMSD and support to the media industry. In his former positions, he was the head of the electronic communications policy unit and then of the cybersecurity and on-line privacy unit. As part of the latter job, he supervised and directed the elaboration of the European Cybersecurity Strategyand of a proposal for a European law on network and information security.He also has an extensive experience in complex merger cases and in consumer law. Before joining the Commission he was an associate in an international law firm in Milan for four years (1989/1992), where he dealt mainly with commercial law and competition law. He is the author of several publications mainly in English law magazines.       Anna Herold   European Commission, DG Communications Networks, Content and Technology. Head of Audiovisual and Media Policy Services Unit. Anna Herold is currently Head of the Audiovisual and Media Policy Unit at the European Commission. She was previously Member of Cabinet of Günther H. Oettinger, European Commissioner responsible for Digital Economy and Society. Prior to that, she was Assistant to Deputy Director-General of DG Communications Networks, Content and Technology of the European Commission, Roberto Viola. She has worked for the European Commission since 2003, dealing with media,audiovisual and telecoms policy as well as competition law. Anna holds a PhD in Law from the European University Institute in Florence and has written on media law and policy, international trade and competition law.      Ľuboš Kukliš    Ľuboš Kukliš is Executive Director of the Council for Broadcasting and Retransmission of Slovakia. He serves as Chair ofthe European Regulators Group for Audiovisual Media Services (ERGA). In the field of media and administrative law he is also active in lecturing and writing – most recently Electronic Media Regulation (Wolters Kluwer, 2015), Slovak Broadcasting Act – A Commentary (Wolters Kluwer, 2016).       Renate Schroeder    Renate Schroeder is the Director of the European Federation of Journalists, the largest organisation of journalists in Europe, representing over 320,000 journalists in 72 journalists’ organisations across 44 countries. In 1993 she started working for the International Federation of Journalists (IFJ) and since 2003 she works for theEFJ. Advocacy at EU and Council of Europe level\; presentation of EFJ at international meetings and fact-finding media freedom missions\; project work, communication and assistance in several EFJ expert groups including on freelances, broadcasting media literacy and digital journalism, are part of her work-load in the small dynamic Brussels office. Renate Schroeder studied International Relations and Political Science at Boston University (Bachelor’s Degree in 1988, Magna Cum Laude) and in Berlin at the Free University (Masters in 1992). Major themes during her Masters program were nationalism, integration and refugee policy. Renate worked among other at the United Nations, New York, the research institute FAST in Berlinand the Friedrich-Ebert Foundation in Brussels before she joined the IFJ/EFJ team. She is of German nationality and speaks English, French, Italian, German and Spanish (passive).       Ceren Sözeri    Assoc.Prof. Ceren Sözeri is a faculty member at the Communication Department ofGalatasaray University. She earned both her bachelor’s and master’s degree from Galatasaray University. She received her Ph.D. from Marmara University. She has published on political economy of the media, media policies, freedom of the press, ethical issues, besides, discrimination and hate speech in traditional and online media in Turkey. She has been the Ethical Journalism Network’s (EJN) representative in Turkey since 2015 and a columnist for Evrensel daily.       Vaclav Stetka    Vaclav Stetka is since 2016 Lecturer at the Department of Social Sciences, Loughborough University. Between 2009 and 2013 he worked as Senior Research Fellow at the University of Oxford, then he was appointed Head of the Political Communication Research Group (PolCoRe) at Charles University in Prague. He is currently participating on several international research projects, including the COST IS1308 Action on Populist Political Communication (2014-2018), Reuters Institute’s Digital News Project (since 2015) and Media Pluralism Monitor, EUI (since 2015). Since 2016 he serves as Vice-Chair of the Political Communication Section (ECREA). His research interests involvesocial media, political communication, media ownership and the relationship between media and democracy.       Urška Umek    Urška Umek is Head of Media Unit at the Council of Europe’s Information Society Department, responsible for developing standards in the area of media freedom. She previously worked as a lawyer at the Registry of the European Courtof Human Rights (2012 – 2016) and as a lawyer-linguist at the Court of Justice of the European Union (2008), after starting her career as a legal adviser at the Constitutional Court of the Republic of Slovenia, where she also headed the Research and International Cooperation Department from 2009 until 2012. She contributed to the 2011 “Commentary to the Constitution of the Republic of Slovenia” and to the book “The Constitutional Reformsof the Constitutional Justice”.       Madeleine de Cock Buning     Prof. Madeleine de Cock Buning is part-time Professor at the School of Transnational Governance, European University Institute. In her role at the European University Institute, Professor de Cock Buning will lead work on Digital Politics, Economy and Societies at the School of Transnational Governance. Professor de Cock Buning was Chair of the European Commission’s High-Level Expert Group (HLEG) on fake news and disinformation, assigned to provide the commission with options on how to react to the dissemination of fake news both online and offline. Dr. Prof. de Cock Buning is appointed professor at the Faculty of Law, Economy and Governance (UU) with a chair in Copyright Law and Media and Communication Law.       Presentations   PIER LUIGI PARCU      ELDA BROGI    IVA NENADIC  MARIO VIOLA DE AZEVEDO CUNHA   URSKA UMEK   LUBOS KUKLIS   ADELINE HULIN   VACLAV STETKA"	""	"Albert Borschette Congress Center  @ Rue Froissart 36, 1040 Etter"
"CPDP: Personal data protection, (dis) information, algorithms – European Perspectives and Privacy Camp, Brussels"	"29.01.2019 09:00"	"31.01.2019 18:00"	"CMPF Scientific Coordinator, Elda Brogi, will be speaking at a side-event of this year’s CPDP (Computers, Privacy and Data Protection)conference in Brussels\; Personal data protection, (dis) information, algorithms – European Perspectives, Brussels. The event will take place atthe European Parliament on 31 January. Read more about the event here. Elda will also attend Privacy Camp, another CPDP side-event organised by EDRi. Privacy Camp is free to attend upon registration. See the website for more information. Find more information about the 2019 CPDP conference here."	""	"European Parliament, Library Reading Room Altiero Spinelli Buildi"
"High Level Policy Dialogue – Online disinformation ahead of the European Parliament elections: towards societal resilience"	"11.02.2019 09:00"	"11.02.2019 18:00"	"Organised by the School of Transnational Governance in collaboration with the Centre for Media Pluralism and Media Freedom (CMPF) at the Robert Schuman Centre for Advanced Studies, this High Level Policy Dialogue on Disinformation ahead of the European Parliament elections will take the fundamental rights perspective and will focus on the strengthening of societal resilience. The event will bring together key experts from the academic and policy fields with deep knowledge of these issues to discuss fact checking, media- and information literacy, media pluralism and a strong role of academic institutes as independent agents to foster well-balanced multi-dimensional approaches.   Find out more about the event here.  "	""	"European University Institute @ Badia Fiesolana, Fiesole"
"Annual Scientific Seminar on Media and the Digital Economy (9th edition)"	"21.03.2019 08:03"	"22.03.2019 09:03"	"In March every year, the Florence School of Regulation Communications & Media (FSR C&M), Centre for Media Pluralism and Freedom (CMPF) and Florence Competition Programme (FCP) organise jointly the Annual Scientific Seminar on Media and the Digital Economy. Since its first edition, the Seminar (formerly known as the Annual Scientific Seminar on The Economics, Law and Policy of Communications and Media), has brought together agreat number of scholars from all over the world and featured many prominent keynote speakers in the fields of social sciences, economics, law and media and other practitioners. For more information and to submit your call for papers click here.  "	""	"Badia Fiesolana – Refettorio"
"European Artificial Intelligence Observatory 2nd Meeting"	"02.04.2019 15:00"	"02.04.2019 17:30"	"CMPF director Pier Luigi Parcu gave a presentation on AI, elections, media pluralism and media freedom at the 2nd meeting of the European Artificial Intelligence Observatory at the European Parliament in Brussels.   Download the agenda.     See the slides in Slieshare.  "	""	"European Parliament"
"Seminar: How to Measure Media Pluralism on the Web?"	"05.04.2019 10:30"	"02.05.2019 17:30"	"Elda Brogi, CMPF Scientific Coordinator, will give a seminar on measuring media pluralism online at the University of Perugia on April 5. Click the image to download the event programme in pdf. Event flyer"	""	"University of Perugia"
"Discussion on the Revision of the Media Pluralism Monitor"	"02.05.2019 15:00"	"31.01.2020 16:00"	"The CMPF will hold a round table discussion at the EUI in Florence on May 2 to reflect on the revision of the Media Pluralism Monitor. Participants will discuss potential new measurements to be included in the MPM2020 which will be updated to explore the digital dimensions of media pluralism. Guest Speakers:  Oreste Pollicino, Professor of Constitutional Law and Media Law Bocconi University, Milan Ľuboš Kukliš, Executive Director of the Council for Broadcasting and Retransmission of Slovakia. Chair of the European Regulators Group for Audiovisual Media Services (ERGA)  From 15:00 to 17:30 Cappella    "	""	""
"Informatica e … Informazione e Democrazia Incontro per il ciclo di eventi “Informatica50”"	"17.05.2019 15:30"	"18.02.2020 09:54"	"CMPF Scientific Coordinator Elda Brogi will speak at the University of Pisa at the conference Informatica e … Informazione e Democrazia: Incontro per il ciclo di eventi “Informatica50”. Find out more here.  "	""	"University of Pisa @ Piazza Evangelista Torricelli, 2, 56126 Pis"
"Media Pluralism Monitor 2020: Final conference"	"31.01.2020 10:00"	"30.09.2020 18:00"	"On January 31st the CMPF will host the MPM2020 final conferenceat the EUI in Florence. Members of each of the 30 country teams will be in attendance. Conference participants will explore the results of the MPM2020 and hear special country presentations from the Albania, Croatia, Germany and Hungary country teams.   FINAL PROGRAMME"	""	"Badia Fiesolana, Refettorio"
"World Trends in Freedom of Expression and Media Development, UNESCO Paris"	"17.02.2020 08:54"	"06.11.2020 15:00"	"CMPF Scientific Coordinator Elda Brogi will participate in a technical consultation on UNESCO’s report on World Trends in Freedom of Expression and Media Development."	""	"UNESCO Paris @ 7 place de Fontenoy, Paris, 75 75007"
"Face the facts: Public media in private times"	"30.09.2020 14:00"	"20.11.2020 15:00"	"CMPF researcher Konrad Bleyer-Simon will be moderating a session at Face the facts: Public media in private times, an online conference organised by the Heinrich Boll Stiftung. See the programme and register here.  "	""	"Online"
"Webinar: Safety and Wellbeing of Journalists in Times of Covid-19"	"06.11.2020 14:00"	"10.12.2020 13:30"	"We are pleased to announce CMPF’s webinar titled “Safety and Wellbeing of Journalists in Times of Covid-19”. The webinar is part of the 9th edition of the annual School for Journalists and Media Practitioners organised by the Centre for Media Pluralism and Freedom (CMPF), at the European University Institute, and will be held online on November, 6th 2020, at 14:00.   Chair:  Prof. Pier Luigi Parcu, Director of the Centrefor Media Pluralism and Media Freedom  Speakers:  Urška Umek (Head ofMedia Unit, Information Society Department, Council of Europe) RicardoGutiérrez (General Secretary, European Federation of Journalists) Mar Cabra (journalist, founder of The Self-Investigation project)  The COVID-19 crisis has highlighted more than ever the importance of professional journalism and quality reporting in our contemporary societies. The CMPF’s Media Pluralism Monitor 2020 has found that the poor working conditions ofjournalists and the increasing number of threats to which journalists aresubjected pose some of the greatest risks to journalism in Europe. In themonths following the data collection, the pandemic has further accelerated these problems. In these extraordinary times, journalists have put their health and well-being at risk to provide quality news to citizens, while the infodemic is raging. However, despite their fundamental role, news media and journalists are facing a series of challenges that could greatly impair function: financial difficulties, constant attacks to the freedom of expression, and at times even physical attacks. In the webinar session, distinguished experts will discuss the major security threats looming over the journalistic profession: The acquittal of the accused mastermind of Ján Kuciak’s murder has shown that perpetrators are shielded by impunity, even inside the EU. At our borders, in Belarus, authorities are detaining journalists for simply doing their job and covering protests. Butif we look beyond the headlines, we can find a range of additional problems affecting journalists in Europe — among them burn-outs, job (in)security and precarious employment, all of which were accelerated by COVID-19.   REGISTER HERE"	""	""
"Special Event – European Journalism Facing COVID-19: A dialogue with Věra Jourová"	"20.11.2020 14:00"		"European Commission Vice-President for Values and Transparency, Věra Jourová In the first Annual Report on the Rule of Law situation inthe European Union published in September 2020, the European Commission evaluated the media pluralism and freedom situation in the 27 member states and raised some issues regarding media practices. Among those exist concerns about the political independence of media, the risks of politicisation of media authorities, threats to journalists in retaliation for their work, the scarcity of adequate resources for new media outlets, and more.  The COVID-19 pandemic crisis has further aggravated this situation and many measures taken to tackle the ‘infodemic’ appeared to be used for political purposes. In this context, what are the next steps planned by the European Commission to support the media sector? The Robert Schuman Centreand The Centre for Media Pluralism and Freedom are honoured to host European Commission Vice-President for Values and Transparency, Věra Jourová,to answer that question. The dialogue will feature an introduction from the Director of the Robert Schuman Centre, Brigid Laffan and will be chaired by Centre for Media Pluralism and Media Freedom Director, Pier Luigi Parcu.           The special event is organised in the context of this year’s CMPF Online School for Journalists and Media Practitioners.  "	""	"Online"
